Language,First languagespeakers[55],First languagespeakers as percentageof total population,Second languagespeakers (millions),Third languagespeakers (millions),Total speakers (millions)[56],Total speakers as percentage of totalpopulation[57]
Hindi,"528,347,193",43.63,139.0,24.0,692.0,57.1
Bengali,"97,237,669",8.3,9.0,1.0,107.0,8.9
Marathi,"83,026,680",6.86,13.0,3.0,99.0,8.2
Telugu,"81,127,740",6.7,12.0,1.0,95.0,7.8
Tamil,"69,026,881",5.7,7.0,1.0,77.0,6.3
Gujarati,"55,492,554",4.58,4.0,1.0,60.0,5.0
Urdu,"50,772,631",4.19,11.0,1.0,63.0,5.2
Kannada,"43,706,512",3.61,14.0,1.0,59.0,4.9
Odia,"37,521,324",3.1,5.0,0.03,43.0,3.5
Malayalam,"34,838,819",2.88,0.05,0.02,36.0,2.9
Punjabi,"33,124,726",2.74,0.03,0.003,36.0,3.0
Assamese,"15,311,351",1.26,7.48,0.74,24.0,2.0
Maithili,"13,583,464",1.12,0.03,0.003,14.0,1.2
Meitei (Manipuri),"1,761,079",0.15,0.4,0.04,2.25,0.2
English,"259,678",0.02,83.0,46.0,129.0,10.6
Sanskrit,"24,821",0.00185,0.01,0.003,0.025,0.002
